titulo;link
A Cidade;https://www.letras.mus.br/chico-science/45205/
A Praieira;https://www.letras.mus.br/chico-science/7586/
Amor de Muito;https://www.letras.mus.br/chico-science/amor-de-muito/
Angicos;https://www.letras.mus.br/chico-science/angicos/
Antene-se;https://www.letras.mus.br/chico-science/173420/
Baião Ambiental;https://www.letras.mus.br/chico-science/45207/
Banditismo Por Uma Questão De Classe;https://www.letras.mus.br/chico-science/45208/
Ciranda;https://www.letras.mus.br/chico-science/ciranda/
Coco Dub (Afrociberdelia);https://www.letras.mus.br/chico-science/304729/
Computadores Fazem Arte;https://www.letras.mus.br/chico-science/304730/
Corpo de Lama;https://www.letras.mus.br/chico-science/1695292/
Criança De Domingo;https://www.letras.mus.br/chico-science/304731/
Da Lama Aos Caos;https://www.letras.mus.br/chico-science/108267/
Enquanto o Mundo Explode;https://www.letras.mus.br/chico-science/268821/
Etnia;https://www.letras.mus.br/chico-science/83236/
Interlude Zumbi;https://www.letras.mus.br/chico-science/interlude-zumbi/
Lixo do Mangue;https://www.letras.mus.br/chico-science/304732/
Macô;https://www.letras.mus.br/chico-science/304733/
Malungo;https://www.letras.mus.br/chico-science/304734/
Manguetown;https://www.letras.mus.br/chico-science/45209/
Maracatu Atomico;https://www.letras.mus.br/chico-science/1321515/
Maracatu de Tiro Certeiro;https://www.letras.mus.br/chico-science/304735/
Mateus Enter;https://www.letras.mus.br/chico-science/173421/
Monólogo Ao Pé De Ouvido;https://www.letras.mus.br/chico-science/173422/
Mulher do Cego;https://www.letras.mus.br/chico-science/mulher-do-cego/
O Cidadão do Mundo;https://www.letras.mus.br/chico-science/173423/
O Encontro de Isaac Asimov Com Santos Dumont No Céu;https://www.letras.mus.br/chico-science/o-encontro-de-isaac-asimov-com-santos-dumont-no-ceu/
Passeio No Mundo Livre;https://www.letras.mus.br/chico-science/268824/
Pou-Pourri;https://www.letras.mus.br/chico-science/304736/
Quando a Maré Encher;https://www.letras.mus.br/chico-science/822652/
Rios, Pontes & Overdrives;https://www.letras.mus.br/chico-science/304737/
Risoflora;https://www.letras.mus.br/chico-science/173424/
Samba do Lado;https://www.letras.mus.br/chico-science/268822/
Samba Makossa;https://www.letras.mus.br/chico-science/45211/
Samidarish;https://www.letras.mus.br/chico-science/samidarish/
Sangue De Bairro;https://www.letras.mus.br/chico-science/304738/
Sobremesa;https://www.letras.mus.br/chico-science/268823/
Um Satélite na Cabeça;https://www.letras.mus.br/chico-science/45212/
